device=cuda  n_players=[2, 4]  model=MLP+DQN  total_frames=25000000
cli_args={"batch_size": 512, "buffer_size": 100000, "compile": false, "cuda": true, "encoder_flat_cells": 128, "encoder_flat_depth": 1, "encoder_flat_embed_dim": 64, "encoder_mix_cells": 128, "encoder_mix_depth": 1, "encoder_output_dim": 128, "encoder_q_cells": 128, "encoder_q_depth": 1, "encoder_sequential_depth": 2, "encoder_sequential_dropout": 0.0, "encoder_sequential_embed_dim": 64, "encoder_sequential_ff_dim": 128, "encoder_sequential_head_dim": 16, "encoder_sequential_num_heads": 4, "frames_per_batch": 5000, "gamma": 0.99, "iterations": 5000, "lr": 0.00025, "max_grad_norm": 10.0, "max_n_players": 4, "min_n_players": 2, "mlp_cells": 447, "mlp_depth": 2, "n_players": null, "reward_scale": 0.1, "save_path": "models/DQN/sushi_go_qnet_large_2-4_players.pt", "smoke": false, "target_eps": 0.995, "updates_per_batch": 16, "use_encoder": false}
[92m2026-06-07 18:53:21,717 [torchrl][INFO][0m    check_env_specs succeeded![92m [END][0m
[92m2026-06-07 18:53:56,925 [torchrl][INFO][0m    Initialized LazyTensorStorage with torch.Size([100000]) shape[92m [END][0m
iter 169 | loss=0.0311 | eps=0.949 | mean turn reward=+0.131 | mean episode return/seat=+3.47
iter 170 | loss=0.0335 | eps=0.949 | mean turn reward=+0.131 | mean episode return/seat=+3.46
iter 171 | loss=0.0404 | eps=0.949 | mean turn reward=+0.131 | mean episode return/seat=+3.44
iter 172 | loss=0.0321 | eps=0.948 | mean turn reward=+0.132 | mean episode return/seat=+3.49
iter 173 | loss=0.0280 | eps=0.948 | mean turn reward=+0.131 | mean episode return/seat=+3.45
iter 174 | loss=0.0321 | eps=0.948 | mean turn reward=+0.132 | mean episode return/seat=+3.50
iter 175 | loss=0.0329 | eps=0.948 | mean turn reward=+0.132 | mean episode return/seat=+3.47
iter 176 | loss=0.0318 | eps=0.947 | mean turn reward=+0.133 | mean episode return/seat=+3.58
iter 177 | loss=0.0324 | eps=0.947 | mean turn reward=+0.132 | mean episode return/seat=+3.48
iter 178 | loss=0.0313 | eps=0.947 | mean turn reward=+0.131 | mean episode return/seat=+3.46
iter 179 | loss=0.0317 | eps=0.946 | mean turn reward=+0.130 | mean episode return/seat=+3.39
iter 180 | loss=0.0312 | eps=0.946 | mean turn reward=+0.133 | mean episode return/seat=+3.54
iter 181 | loss=0.0337 | eps=0.946 | mean turn reward=+0.130 | mean episode return/seat=+3.42
iter 182 | loss=0.0313 | eps=0.945 | mean turn reward=+0.133 | mean episode return/seat=+3.52
iter 183 | loss=0.0314 | eps=0.945 | mean turn reward=+0.131 | mean episode return/seat=+3.46
iter 184 | loss=0.0334 | eps=0.945 | mean turn reward=+0.132 | mean episode return/seat=+3.47
iter 185 | loss=0.0305 | eps=0.945 | mean turn reward=+0.132 | mean episode return/seat=+3.54
iter 186 | loss=0.0304 | eps=0.944 | mean turn reward=+0.133 | mean episode return/seat=+3.50
iter 187 | loss=0.0333 | eps=0.944 | mean turn reward=+0.130 | mean episode return/seat=+3.44
iter 188 | loss=0.0331 | eps=0.944 | mean turn reward=+0.130 | mean episode return/seat=+3.40
iter 189 | loss=0.0315 | eps=0.943 | mean turn reward=+0.131 | mean episode return/seat=+3.47
iter 190 | loss=0.0308 | eps=0.943 | mean turn reward=+0.132 | mean episode return/seat=+3.50
iter 191 | loss=0.0323 | eps=0.943 | mean turn reward=+0.130 | mean episode return/seat=+3.44
iter 192 | loss=0.0320 | eps=0.942 | mean turn reward=+0.129 | mean episode return/seat=+3.37
iter 193 | loss=0.0329 | eps=0.942 | mean turn reward=+0.132 | mean episode return/seat=+3.46
iter 194 | loss=0.0309 | eps=0.942 | mean turn reward=+0.132 | mean episode return/seat=+3.48
iter 195 | loss=0.0308 | eps=0.942 | mean turn reward=+0.131 | mean episode return/seat=+3.45
iter 196 | loss=0.0299 | eps=0.941 | mean turn reward=+0.131 | mean episode return/seat=+3.46
iter 197 | loss=0.0323 | eps=0.941 | mean turn reward=+0.130 | mean episode return/seat=+3.42
iter 198 | loss=0.0322 | eps=0.941 | mean turn reward=+0.133 | mean episode return/seat=+3.49
